微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5119432333200049,P89wtdqtH,周欣欣同学2024,2025-01-05 12:27:25,王冰冰 一个被过度捧红的ip。 ,0,0,0,中国,安徽,铜陵,欣商业创始人，牧羊少女创始人，证券大v。  电影频道，音乐合伙，蓝标公关，商业主编，海外金融女主播，律所高管，多年创业合伙经验，养生中医日常。,75,4331,女,https://weibo.com/u/7908400955,https://m.weibo.cn/detail/P89wtdqtH,P89wtdqtH
5119410876715954,P88XRsb7Q,娱乐圈的记录员,2025-01-05 11:02:10,#王冰冰# #青年大学习# 娱乐圈的记录员的微博视频 ,0,0,0,中国,北京,北京,明星热点、周边采访,101,20.1万,男,https://weibo.com/u/6179910614,https://m.weibo.cn/detail/P88XRsb7Q,P88XRsb7Q
5119387682212843,P88ms9hF1,打彩虹六号的喵酱,2025-01-05 09:30:00,王冰冰 来自主持人多肉沫沫的返图 ,0,5,19,中国,黑龙江,N/A,,6,11,男,https://weibo.com/u/7948493094,https://m.weibo.cn/detail/P88ms9hF1,P88ms9hF1
5119351659169110,P87qlCtiS,达人秀馆,2025-01-05 07:06:51,#央young之夏# #王冰冰# 准备了什么节目？剧透来啦！#撒贝宁小尼# 跨服聊天揭秘 达人秀馆的微博视频 ,0,0,0,中国,北京,北京,明星的各种综艺节目，各种八卦，我们唠起来~,298,21.4万,男,https://weibo.com/u/6085757642,https://m.weibo.cn/detail/P87qlCtiS,P87qlCtiS
5119351545660799,P87qanKDd,娱乐正追踪,2025-01-05 07:06:24,#央young之夏# 彩排现场，#王冰冰# 和海阳用东北话对话，是不是有小品的感觉了！ 娱乐正追踪的微博视频 ,0,0,0,中国,北京,北京,微博搞笑视频自媒体,87,20.8万,男,https://weibo.com/u/6183821474,https://m.weibo.cn/detail/P87qanKDd,P87qanKDd
5119279104262307,P85xkhSOT,王冰冰今天吃火锅了嘛,2025-01-05 02:18:32,王冰冰  断签无数次之后终于又30天啦 ,1,5,5,中国,河南,安阳,永远18,55,98,女,https://weibo.com/u/6364914257,https://m.weibo.cn/detail/P85xkhSOT,P85xkhSOT
5118790742839691,P7SPEbUJt,吃花蜜的喵酱,2025-01-03 17:57:58,王冰冰 近距离看冰冰·吉林春晚录制 来自小红📖用户Yuan. 吃花蜜的喵酱的微博视频 ,11,58,233,中国,江苏,南京,,132,6.7万,男,https://weibo.com/u/2719690694,https://m.weibo.cn/detail/P7SPEbUJt,P7SPEbUJt
5119244972593584,P84EhaSI0,有点孩怕的喵酱,2025-01-05 00:02:55,王冰冰 1500天咯 ,1,6,6,中国,内蒙古,锡林郭勒盟,笑忘人间的苦痛只有甜美🥕,476,1856,男,https://weibo.com/u/5213435830,https://m.weibo.cn/detail/P84EhaSI0,P84EhaSI0
5119239857899573,P84w1x92t,是瓜瓜蛙,2025-01-04 23:42:35,《今人不见古时玥》花絮：王冰冰与鲁照华的闺蜜欢乐时光。 是瓜瓜蛙的微博视频 ,0,1,2,中国,北京,北京,国内外明星的综合类搞笑视频,262,45.9万,男,https://weibo.com/u/6085757586,https://m.weibo.cn/detail/P84w1x92t,P84w1x92t
5119239856068465,P84w1psGt,娱乐星闻不N机,2025-01-04 23:42:35,吃货冰冰，#笑容最治愈的女孩# #清纯甜美#。我喜欢的女孩，王冰冰。 娱乐星闻不N机的微博视频 ,0,1,0,中国,北京,北京,明星艺人的相关火爆视频等你来看,189,43.4万,男,https://weibo.com/u/6090644783,https://m.weibo.cn/detail/P84w1psGt,P84w1psGt
5119074178697422,P80cNAuB0,吻奶珊的喵酱,2025-01-04 12:44:14,王冰冰#王冰冰#  你在身边就是缘，缘分写在三生石上面。 ,0,11,106,中国,浙江,温州,随心所欲,477,1.9万,女,https://weibo.com/u/1799906660,https://m.weibo.cn/detail/P80cNAuB0,P80cNAuB0
5119177830701268,P82TZ2WqM,打彩虹六号的喵酱,2025-01-04 19:36:07,王冰冰 今人不见古时玥花絮 ,3,16,27,中国,黑龙江,绥化,,6,11,男,https://weibo.com/u/7948493094,https://m.weibo.cn/detail/P82TZ2WqM,P82TZ2WqM
5119156531762099,P82lD7ooX,sym诗宇末,2025-01-04 18:11:29,王冰冰  消息一则 日前，国家广播电视总局发布“微短剧陪你过大年”2025年微短剧春节档推荐片单，冰冰姐演的《今人不见古时玥》在这份名单中，名单显示，这部微短剧一共15集，每一集13分钟，预计1.31（正月初三）在腾讯视频上线！ PS：央视频应该也会播出的 ,7,17,21,中国,江苏,苏州,普普通通打工人，勤勤恳恳打工魂,94,696,男,https://weibo.com/u/3844400647,https://m.weibo.cn/detail/P82lD7ooX,P82lD7ooX
5119106161836068,P812o7HE0,史前军迷老古董,2025-01-04 14:51:19,王冰冰  网页链接 ,1,4,4,中国,广东,汕头,,125,20,男,https://weibo.com/u/7906919558,https://m.weibo.cn/detail/P812o7HE0,P812o7HE0
5119102658288149,P80WJyM7P,熊熊乐宠,2025-01-04 14:37:25,报告冰冰，今天快乐烤地瓜王冰冰 ,0,11,10,中国,福建,N/A,,64,2,男,https://weibo.com/u/7616440063,https://m.weibo.cn/detail/P80WJyM7P,P80WJyM7P
5119090206709534,P80CEs9si,追星综娱,2025-01-04 13:47:56,慕名看了下王冰冰在小红书的穿搭分享，感觉土土的。。。 ,24,24,16,中国,河北,保定,我花开后百花杀🌸,744,32.5万,男,https://weibo.com/u/7051923132,https://m.weibo.cn/detail/P80CEs9si,P80CEs9si
5119077909793421,P80iOF5Ip,追星娱综,2025-01-04 12:59:04,王冰冰这也忒土了，，，怎么做到每一身都土的，，，我愿称之为嫩土装扮。。。。好爱穿背心 ,23,23,19,中国,浙江,宁波,接投稿，合作请私信,2062,60万,男,https://weibo.com/u/6325535696,https://m.weibo.cn/detail/P80iOF5Ip,P80iOF5Ip
5119067881738408,P802E7ieQ,小小乖乖下士,2025-01-04 12:19:13,王冰冰 大家好，我是新人请问一下发帖需要注意什么？ ,0,20,8,中国,广东,广州,欲买桂花同载酒，终不似，少年游!,63,71,女,https://weibo.com/u/7756518066,https://m.weibo.cn/detail/P802E7ieQ,P802E7ieQ
