微博id,uni_id,url,主页,发布时间,国家,城市,微博bid,微博作者,微博内容,性别,情感倾向,点赞数,爬取时间,用户关注数,用户简介,省份,粉丝数,评论数,转发数
1642591402.0,,https://m.weibo.cn/detail/Ozxxs7uRi,https://m.weibo.cn/u/2303129363?,2024-10-01 16:29:40,中国,北京,Ozxxs7uRi,新浪娱乐,其实我觉得最好的脱口秀领笑员阵容是李诞、杨笠、鲁豫、大张伟，会把关会点评会聊天会鼓励支持。现在这几个节目就真的就跟评委一样，高高在上点评分析段子结构、价值分析、观众喜好什么… 还有罗永浩，看到好多repo都是在吐槽他爹味 ,m,0.999970156898296,873.0,2024-10-01 22:09:07,911.0,啊半，想发啥就发啥，但一些并不代表个人观点,北京,95.9万,34.0,22.0
1687379911.0,OzpDL3m54,https://m.weibo.cn/detail/OzpDL3m54,https://m.weibo.cn/u/1639498782?,2024-09-30 20:23:14,中国,武汉,,马孔多作坊,#李诞说外行不能理解贫嘴和幽默#【李诞：贫嘴，我是绝对不要的；幽默是少言，但准确的】李诞在《文学馆之夜》里谈到：“贫嘴和幽默的分别，是外行特别不能理解的。幽默是少言的，他进来的话，他一直在那贫嘴，我是绝对不要的，他虽然看起来很热闹很好笑，是绝对不要的。就是不说的人，就那么几个字很准 ...全文,m,0.4734583373034052,53.0,2024-10-01 22:09:07,275.0,中国深具公信力和发行量最大的新闻周报 新闻热线：020-87361587,湖北,1859.9万,14.0,11.0
1747929363.0,,https://m.weibo.cn/detail/OzvEJcB0q,,2024-10-01 11:42:06,中国,丽江,OzvEJcB0q,凌晨四点我看见海棠花未眠H,,,0.5,,2024-10-01 22:09:07,,,云南,,,
1805578765.0,,https://m.weibo.cn/detail/OzwoXaa6O,https://m.weibo.cn/u/3252784800?,2024-10-01 13:35:59,中国,,OzwoXaa6O,不管喜和悲日落永远okk,李诞 朋友们事情没有你想的那么糟❗️这位姐妹说自己和男友感情稳定，却隐隐觉得危机四伏、波涛汹涌。@李诞 说不要给危机以关注，就不会有危机，不要给波涛以关注，它就不会汹涌。不要为了将来不一定发生的不好，惩罚现在的好，共勉！ 李诞工作室的微博视频 ,m,0.999998662072164,44.0,2024-10-01 22:09:07,66.0,编剧、作家李诞工作室,湖南,14.3万,6.0,2.0
1963412203.0,,https://m.weibo.cn/detail/Ozzuraj0D,https://m.weibo.cn/u/1380420394?,2024-10-01 21:27:44,中国,,Ozzuraj0D,_Jiajia_h,李诞以前的东西我没看过也不了解，印象中好像他也引起过一些争议，但是看这人直播，说的东西还挺实在的。  比如说一个女性问婚姻，就说自己原来在国外留学，回国相亲找了个老公，在二线城市，老公答应以后跟她出国生活，但是意愿越来越不强，英语也学不下去了，自己留在这个地方找工作也只有几千块钱的 ...全文,f,0.6870820711771846,13.0,2024-10-01 22:09:07,521.0,,辽宁,7万,2.0,2.0
1968980901.0,,https://m.weibo.cn/detail/OzvnYdn5v,https://m.weibo.cn/u/7594205274?,2024-10-01 11:00:49,中国,苏州,OzvnYdn5v,春桃崽崽,李诞在直播间聊到如何冥想，这两天对我帮助很大。他说冥想就是观察自己的呼吸，可能你会忍不住走神想别的事，但是没关系。你就想象你在火车站看着情绪像火车一样来来往往，可能你会跟着它往前走一段，但别走太远就回来。这样你就像一个看火车的人，心里知道：“哦，这些是我的情绪，它们会来，也会走。 ...全文,f,0.9994197263522272,867.0,2024-10-01 22:09:07,482.0,中文系云师姐，彪形语文老师，业余读书人，终身学习者,江苏,10.1万,13.0,114.0
2218947990.0,,https://m.weibo.cn/detail/OzzAIzpR7,https://m.weibo.cn/u/6883345759?,2024-10-01 21:43:13,中国,徐州,OzzAIzpR7,Miss__Ostrich,李诞有点牛，我真怕他变成下一个蔡澜或是别的什么老饕。从来没在直播间买过东西，除了这个猪油酥酥，也就是猪油渣。上次在上海工作遇到李诞，他说猪油渣是温州一个威士忌吧尝到的，太惊艳了。我以为猪油渣顶了天了也就是像贵阳的脆哨罢了。我承认我错了，现在只要像他一样一躺着就吃一堆，这回真的真的 ...全文,m,0.1046305480996602,428.0,2024-10-01 22:09:07,559.0,祝你断断续续的快乐。,江苏,20.5万,20.0,9.0
2268697241.0,,https://m.weibo.cn/detail/Ozvo6egXD,https://m.weibo.cn/u/2218947990?,2024-10-01 11:01:07,中国,沈阳,Ozvo6egXD,是财神宠爱的小张阿,谁懂脱人在节目里还能听到cue到李诞的段子的感觉希望后面再cue到的千万别剪 ,f,0.0408292973567434,0.0,2024-10-01 22:09:07,359.0,逃避且内耗,辽宁,1140,0.0,0.0
2303129363.0,,https://m.weibo.cn/detail/Ozgs30thK,https://m.weibo.cn/u/7823342969?,2024-09-29 20:59:39,中国,深圳,Ozgs30thK,你别说还真是这样,提前三个小时祝你生日快乐李瑞超  蛋蛋@李诞 天天开心健康平安 ,f,0.9944234598940452,0.0,2024-10-01 22:09:07,2.0,,广东,1,0.0,0.0
2303129363.0,,https://m.weibo.cn/detail/Ozgs30thK,https://m.weibo.cn/u/1963412203?,2024-09-29 20:59:39,中国,深圳,Ozgs30thK,你别说还真是这样,《要的都是有亏欠》 可怜的现代人，感情上越来越蠢。 看李诞直播，感觉这届网友个个都做长期心理咨询，个个都在上亲密关系沟通课。PUA这种词是最初级了，回避型依恋、不配得感、trust issue……都信手拈来的，并形成了一套完整的、明显反复讲述过多次的自我叙事。但仍然，上了那么多课、读了那么多书， ...全文,f,0.9999999207564972,0.0,2024-10-01 22:09:07,32.0,要的都是有亏欠,广东,0,0.0,0.0
2664630753.0,,https://m.weibo.cn/detail/OzzpPgWyE,https://m.weibo.cn/u/7437123378?,2024-10-01 21:16:23,中国,咸阳,OzzpPgWyE,小簌susu,老觉得这本书是Dan～！的学术生存日记（请用李诞读信的口气念出来），老没读下去，准备包个封面～～～￼ ,f,0.9266804795291528,0.0,2024-10-01 22:09:07,200.0,生活单调，看啥都有趣～,陕西,22,0.0,0.0
