平台,用户名,内容,分享数,评论数,点赞数,url,uni_id,发布时间
微博,济南日报,#淋巴水肿# 【#健康科普# | 孩子腿变粗可能不是长胖了，警惕这种致残行极高的疾病】宝宝越来越圆润，很多家长以为是长胖了，忽略了其中的风险。其实，很多淋巴水肿会表现为软组织的增厚，如肢体的增粗，不对称，肿胀，影响生长发育、正常活动，导致残疾。这不仅仅会对孩子的身体造成影响，它还可能带来 ...全文,0,0,0,https://m.weibo.cn/detail/P3REhbdaY,,2024-12-08 07:36:00
微博,静默与纷华,#我想和医疗中的死不认错叫个板##山大口腔##医疗诈骗##我的抗战#  山大口腔医学院（医院）副院长、正畸科主任、康虹院区院长魏福兰，你不是喜欢照镜子吗？天光已经大亮，快来照一照吧。  魏福兰，2020年7月21日第一次交涉后你收集病历资料组织专家会诊，关于王春玲的矫治你敢说你没看明白吗？我原本以 ...全文,0,0,0,https://m.weibo.cn/detail/P3RuHxxDD,,2024-12-08 07:12:25
微博,我们无缘1992,山东大学SDU  大家有想做家教的朋友们可以进群啦！不要让自己的才华被埋没哦 ,0,1,0,https://m.weibo.cn/detail/P3OinwDvE,,2024-12-07 23:03:48
微博,高冷国公主______,今年相比于去年来说 不管是遇见的人 还是事 都幸运好太多了 这可能是幸运的一年山东大学SDU ,0,0,1,https://m.weibo.cn/detail/P3NXLlsJH,,2024-12-07 22:13:01
微博,一根思想苇草,#高校#  山东大学 青岛·山东大学(青岛校区) ,0,3,1,https://m.weibo.cn/detail/P3NMOu1AM,,2024-12-07 21:46:03
微博,是木宁檬吖,自己设计的游戏也是玩上啦！美美背上我们设计游戏的小奖品，好看好看好看，其他三个人还没回来，我先替大家背啦 海鸥话剧社的演出超棒，这个剧团好E，好喜欢！ 青岛·山东大学(青岛校区) ,0,0,0,https://m.weibo.cn/detail/P3Nm2zuZa,,2024-12-07 20:40:05
微博,9Ullll2llllRaaaaa,同步一下🧚🏼♀️ 青岛·山东大学(青岛校区) ,0,1,7,https://m.weibo.cn/detail/P3Nlpodhx,,2024-12-07 20:38:31
微博,要做永远开心会赚钱的漂亮小女孩,第一次在酒店点一箱啤酒来喝🍺 简直不要太快乐  济南微醺局 济南·全季酒店(济南山东大学山大南路店) ,0,2,1,https://m.weibo.cn/detail/P3N7FdsfG,,2024-12-07 20:04:40
微博,Cousinners,马院马克思主义理论考研  山大    山东大学马理论初试历年真题答案 保真低价 ,0,0,0,https://m.weibo.cn/detail/P3N5WpgCZ,,2024-12-07 20:00:25
微博,晚来天欲雪y-,又又又来吃大吉利了 济南·山东大学中心校区 ,0,0,3,https://m.weibo.cn/detail/P3MWNF0KD,,2024-12-07 19:37:54
微博,云南省人民政府,#云政要闻# 【王宁与山东大学党委书记任友群校长李术才举行工作会谈】12月7日，省委书记王宁在昆明与山东大学党委书记任友群、校长李术才一行举行工作会谈。 王宁与山东大学党委书记任友群校长李术才举行工作会谈 ,0,0,0,https://m.weibo.cn/detail/P3MQulIYc,,2024-12-07 19:22:21
微博,mmmmmm7__,🤍下雪啦☃︎ *･ﾟ  山东大学SDU#下雪啦##山东雪窝子下雪了吗##雪景##下雪了# 威海 ,0,1,2,https://m.weibo.cn/detail/P3MBUaAaQ,,2024-12-07 18:46:25
微博,济南历城融媒,#济南轨道交通8号线预计明年底通车#【明年底通车，济南轨道交通8号线全线桥隧贯通】12月5日，在济南轨道交通8号线一期工程建设现场，最后一榀U型梁在潘王路站至山东大学站（均为工程名）区间完成架设，标志着8号线全线桥隧贯通。目前，8号线车站全部封顶，转入装饰装修、机电设备安装阶段，计划2025年 ...全文,0,0,0,https://m.weibo.cn/detail/P3Mj3E4ON,,2024-12-07 18:00:00
微博,荔枝做一只哑巴小狗,巧克力柿子超级无敌巨好吃！！！！ 青岛·山东大学青岛校区图书馆 ,0,1,1,https://m.weibo.cn/detail/P3LbXcali,,2024-12-07 15:09:44
微博,北野自治区,雪到威海站，晚点一天。 昨天才是二十四节气之一的大雪节点。 但是昨天阳光朗照，天气晴好。  先贤们是怎样捕捉到某些宇宙机密的？ 据传马斯克说过，没有发明创造 机密都是通天者猜中密码悄悄下载的。  于是智力竞争成了猜想游戏。 静观，内省，归零，顿悟 成为科学，哲学，诗歌与艺 ...全文,0,0,3,https://m.weibo.cn/detail/P3L2TzV8V,,2024-12-07 14:47:25
微博,早安济宁,#济宁# 【山东大学第二医院与曲阜市人民医院签约！】 12月5日，山东大学第二医院与曲阜市人民医院签约医联体建设，并建立了口腔颌面、肝胆胰专科医联体合作关系。  医联体的建设将依托山东大学第二医院区域医疗中心的引领辐射带动作用，为市人民医院在先进管理经验、精湛医疗技术和优质服务理念方面培 ...全文,0,0,1,https://m.weibo.cn/detail/P3KTLBdVs,,2024-12-07 14:24:56
