微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id,情感倾向
5172854992930463,Puzi3cilx,DC_打開了奇怪開關,2025-06-01 22:30:00,明日方舟 #2025德克萨斯生贺24h# #拉德# #双狼组# #拉普兰德# #德克萨斯# (代發)【德克萨斯生贺24h/22:30】【紫藤】双辉“喂——看这边！德克萨斯，生日这天也别想逃！要是不能把整个集市的战利品都抢光……”“乱七八糟的小玩意还没搜罗够？”经历过几团乱麻，处理完一堆麻烦事后， ...全文,4,0,15,中国,香港,,沙梨 雙狼 可逆不可拆  P 站id=9437115 Twitter: @DConanowo,354,579,女,https://weibo.com/u/2781178951,https://m.weibo.cn/detail/Puzi3cilx,Puzi3cilx,0.0004819940952247581
5172871884179074,PuzJihxaq,我每天都很困Z_zzzzz,2025-06-01 23:37:07,明日方舟 纪念一下120抽三个安姐#蕾缪安# ,0,0,1,中国,四川,成都,🤩🙉🤗😘😘,1100,147,女,https://weibo.com/u/5972793510,https://m.weibo.cn/detail/PuzJihxaq,PuzJihxaq,0.2104360306178339
5172442907805438,PuozowKya,青梅丨plumw,2025-05-31 19:12:31,百日绘day49-52端午快乐明日方舟 #画师百日创作挑战# #阿米娅# ,51,10,271,中国,香港,,菜逼0 v 0求约稿,1218,4.6万,男,https://weibo.com/u/1924390012,https://m.weibo.cn/detail/PuozowKya,PuozowKya,0.9993958896142108
5172492731945662,PupRL8a9E,神与鬼的二象性-,2025-05-31 22:30:30,#明日方舟##傀影# ,5,20,27,中国,上海,上海,花间舞,1387,881,女,https://weibo.com/u/7873126319,https://m.weibo.cn/detail/PupRL8a9E,PupRL8a9E,0.3911295272706595
5172871305367610,PuzImmwmm,然而我的停留仅会铸就你的苦难,2025-06-01 23:34:49,你可以注销这个账号吗。。你不觉得这个账号对明日方舟影响很大吗。。。 ,0,0,4,中国,江苏,徐州,我会无数次重播那失落的时间，直到我燃烧殆尽或者你露出笑颜,916,901,女,https://weibo.com/u/6520282893,https://m.weibo.cn/detail/PuzImmwmm,PuzImmwmm,0.9944068047070425
5172871187664829,PuzIaw9Yh,昭安-,2025-06-01 23:34:21,明日方舟代打 摆摆摊[暖暖耶]专栏 · 信誉图！ ,0,0,0,中国,山东,日照,接明日方舟代打，难度价格可聊，有疑问可私信或+v：zz603392,69,2,女,https://weibo.com/u/7515858930,https://m.weibo.cn/detail/PuzIaw9Yh,PuzIaw9Yh,0.9067250400719111
5172870848184367,PuzHCyl7V,HOO哦呀,2025-06-01 23:32:59,明日方舟你数值膨胀忘记膨胀干员了 ,0,2,0,中国,浙江,金华,🍎🏳️,1941,30,女,https://weibo.com/u/6764661684,https://m.weibo.cn/detail/PuzHCyl7V,PuzHCyl7V,0.991105292282015
5172774974786168,PuxcZk56g,美丽痛包,2025-06-01 17:12:02,【展示】【明日方舟 塑心 阿尔图罗】复数就是最好的谷美🩶 ,0,2,72,中国,河南,驻马店,置顶/自动回复/主页文章栏都有投稿必看与各类合集。投稿不代表皮下观点，皮下也不为转评区的任何言论负责。合作请用店铺官博私信❗️是bot不是厕所,85,36.8万,女,https://weibo.com/u/7002755896,https://m.weibo.cn/detail/PuxcZk56g,PuxcZk56g,0.985024517782415
5172870346969526,PuzGOtf5I,__nana__nana__,2025-06-01 23:31:01,#明日方舟# 有没有玩舟的博士交流一下。 ,0,0,1,中国,北京,北京,,12,3,女,https://weibo.com/u/7525534055,https://m.weibo.cn/detail/PuzGOtf5I,PuzGOtf5I,0.8556968624253042
5172870273570538,PuzGHeYRk,谷子里的草拔一下,2025-06-01 23:30:43,66219【特/蕾/西/娅】求拔or二选一，大的249小的128，感觉小的有点贵但是山山兔实在很萌，但是大的这个价格实在很值 ,0,2,2,中国,湖北,荆州,♂咔  不卖号，别问了。 拔草测，玻璃心❤️退散🏳️，每月一用赛博僵尸道长清粉,4472,14万,女,https://weibo.com/u/7877970127,https://m.weibo.cn/detail/PuzGHeYRk,PuzGHeYRk,0.9396162884608223
