用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,uni_id,认证,url
小孩哥麻麻（被杰伦发ins版）,21296,2024-10-07 19:31:10,拼积木的小孩哥，有点认真@地表最强小孩哥 #小孩哥 #我的男孩 #积木 #听妈妈的话,2分:7秒,2810,151,121,0,146,7422994789861166351,,https://www.douyin.com/discover?modal_id=7422994789861166351
电影野孩子,481778,2024-09-17 18:37:37,#王俊凯 被邀请回家吃饭，小孩哥太会拿捏人了！#电影野孩子,0分:12秒,253788,8019,3655,278,36445,7415559280297938185,电影《野孩子》官方账号,https://www.douyin.com/discover?modal_id=7415559280297938185
鹅厂剧集宣传员,490276,2024-10-22 12:05:40,父母才是孩子的起点，羊水是真正的分水岭 #令人心动的offer4 #鹅滴神片 @腾讯视频,3分:14秒,8355,1682,413,139,12212,7428445720761453835,腾讯视频旗下官方账号,https://www.douyin.com/discover?modal_id=7428445720761453835
暴暴,272,2024-08-29 17:30:29,偏爱newjeans #newjeans #小孩哥,0分:23秒,16559,399,1838,1,7121,7408491373520817418,,https://www.douyin.com/discover?modal_id=7408491373520817418
悲伤的小孩哥👶,4390,2024-10-04 09:39:13,"1⃣️陪伴三年的姐姐说走就走,17岁的小孩哥将何去何从#和平精英 #小孩哥",4分:47秒,7882,585,5875,51,3871,7421728977745612068,,https://www.douyin.com/discover?modal_id=7421728977745612068
浩然弟弟,12425,2024-10-22 18:46:38,好好好 话题终结者#童言童语 #精神状态belike #人类幼崽 #这世界离不开小孩哥,0分:4秒,24833,1153,4662,139,63465,7428549562593316154,,https://www.douyin.com/discover?modal_id=7428549562593316154
谈资,2947136,2024-02-23 22:05:00,开始前还在心疼#小孩哥，开始后该心疼的人是我哈哈哈哈！#搞笑#学校 #小孩哥表演前后反差好大,0分:49秒,2491,76,171,0,2807,7338736296296254735,成都商报社旗下娱乐新媒体账号,https://www.douyin.com/discover?modal_id=7338736296296254735
小孩哥唱戏,14956,2024-09-21 12:02:46,唱说国漫:斗罗大陆2绝世唐门！#上热门 #王秋儿 #斗罗大陆 #王冬儿 #霍雨浩,2分:14秒,1880,1757,143,1,100,7416941862575148315,,https://www.douyin.com/discover?modal_id=7416941862575148315
小孩哥,584,2024-09-11 09:55:45,#巴雷特学长 #gxp官方旗舰店 #gxp真理杯子,0分:39秒,936,154,44,2,407,7413198291392892160,,https://www.douyin.com/discover?modal_id=7413198291392892160
恋颜,154,2024-10-12 13:17:19,小孩哥喊话了！#作业帮 #口算pk #作业帮口算pk,0分:18秒,82733,902,3661,14,5972,7424753874893835520,,https://www.douyin.com/discover?modal_id=7424753874893835520
上善若水,9907,2024-10-23 18:01:27,小孩哥张起灵，小孩哥多次捐献文物，泉哥直呼手拿免死金牌#听泉鉴宝名场面 #听泉鉴宝 #听泉鉴宝直播回放,21分:54秒,44,24,10,0,8,7428909039800634683,,https://www.douyin.com/discover?modal_id=7428909039800634683
凯文小朋友呀,85030,2024-10-21 20:53:26,8岁小孩哥的千万运镜第三视角他来了…,0分:11秒,2556,443,105,0,206,7428211209901575439,,https://www.douyin.com/discover?modal_id=7428211209901575439
独牙小孩哥,166,2024-10-23 18:11:26,AD哥和王多多高度统一的思想🤨#鲲联赛 #ad哥 #台球,0分:53秒,78,0,2,0,2,7428911634917149962,,https://www.douyin.com/discover?modal_id=7428911634917149962
