用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,uni_id,认证,url_2,id,url
小孩哥,839,2024/10/23 9:58,#钱是最可靠的东西,0分:0秒,534,64,57,0,7,7.43E+18,,https://www.douyin.com/discover?modal_id=7428784545224215847,7428784545224215847,https://www.douyin.com/video/7428784545224215847
小孩哥~,3,2024/10/24 0:26,看似我在陪他玩，实则是他在陪我玩诶 #小孩子的快乐 #体验小孩子的快乐,0分:7秒,1,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7429008175006764314,7429008175006764314,https://www.douyin.com/video/7429008175006764314
小孩哥,49,2024/10/23 14:30,好似起了雾#vlog,0分:49秒,7,0,1,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428854643465161993,7428854643465161993,https://www.douyin.com/video/7428854643465161993
泡沫绿茶漫威,1127600,2024/10/23 18:34,太帅了，还得是小孩哥啊，被这群小孩哥给帅到了#混剪 #名场面,2分:32秒,2096,228,21,0,71,7.43E+18,,https://www.douyin.com/discover?modal_id=7428838921183808820,7428838921183808820,https://www.douyin.com/video/7428838921183808820
家有小孩哥一枚,181,2024/10/23 20:24,来一段小孩哥每日必做的运动吧，喜欢就去学习，不用去过问结果如何，享受过程吧…让喜爱刻在骨子里。他日情绪低落时它可能是带你走出绝境的那道光#日常锻炼记录 #小孩哥日常,0分:34秒,19,1,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428945920294685988,7428945920294685988,https://www.douyin.com/video/7428945920294685988
北zzzz,777,2024/10/22 13:57,随玩#小孩哥#游戏搭子#09,0分:0秒,196,3,59,0,66,7.43E+18,,https://www.douyin.com/discover?modal_id=7428474927516355866,7428474927516355866,https://www.douyin.com/video/7428474927516355866
小孩哥·,64,2024/10/23 20:32,带娃日记。如果带娃有学位 那我是带娃研究生在读中·#人类幼崽,0分:0秒,19,1,0,0,1,7.43E+18,,https://www.douyin.com/discover?modal_id=7428948053899480354,7428948053899480354,https://www.douyin.com/video/7428948053899480354
扶子茶,436,2024/10/23 22:55,被小孩哥评价“嘴硬心软”#嘎嘎没烦恼 #积极又向上 #小孩哥,0分:0秒,38,0,4,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428984788821757238,7428984788821757238,https://www.douyin.com/video/7428984788821757238
锦鲤??（拒绝连赞）,5831,2024/10/23 10:30,两个小孩哥????,0分:2秒,7,0,5,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428792823517809956,7428792823517809956,https://www.douyin.com/video/7428792823517809956
鬼,448,2024/10/23 22:41,万人呐喊我跳哥！ #带娃日常 #看看这小孩在干嘛,0分:0秒,7,0,1,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428981093270818084,7428981093270818084,https://www.douyin.com/video/7428981093270818084
小孩哥.,403,2024/10/23 13:10,#舞蹈生 #进步一点点,0分:9秒,179,1,2,0,27,7.43E+18,,https://www.douyin.com/discover?modal_id=7428834121410956594,7428834121410956594,https://www.douyin.com/video/7428834121410956594
。拉珍angel,2517,2024/10/23 12:47,#小孩哥小孩姐 。北风 北风变成了赛跑的小孩,0分:0秒,31,0,2,0,3,7.43E+18,,https://www.douyin.com/discover?modal_id=7428828165939711251,7428828165939711251,https://www.douyin.com/video/7428828165939711251
小黄早日进组,120,2024/10/22 15:57,是我们真诚的小孩哥没错了??#黄俊捷,0分:0秒,1272,80,23,0,60,7.43E+18,,https://www.douyin.com/discover?modal_id=7428505979035110708,7428505979035110708,https://www.douyin.com/video/7428505979035110708
